,Place,Performance,Time,Price
0,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/01 19:30,价格：¥85起
1,[北京]北京 MAO Livehouse,[全场畅饮] 万圣节魔仙堡「暮光倾心」变装派对 北京站,时间：2021/11/01 21:00,价格：¥120起
2,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/02 19:30,价格：¥85起
3,[北京]爱乐汇艺术空间,“梁祝”钢琴、小提琴唯美经典名曲音乐会,时间：2021/11/03 19:30,价格：¥100起
4,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/03 19:30,价格：¥85起
5,[北京]北京 MAO Livehouse,【飞狗诚献】「再见乌托邦」全场酒水畅饮,时间：2021/11/03 20:30,价格：¥90起
6,[北京]疆进酒·OMNI SPACE,Leo1Bee「Shy Boy Leo」Fall 2021 Mini Tour - 北京站,时间：2021/11/04 20:00,价格：¥128起
7,[北京]北京 MAO Livehouse,【情绪回收站】理想真魔王+Pylon+理性之下 全场酒水畅饮,时间：2021/11/04 20:00,价格：¥99起
8,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/04 19:30,价格：¥85起
9,[北京]北京 MAO Livehouse,潮池蓝「深夜出走」2021巡演 北京站,时间：2021/11/05 20:30,价格：¥80起
10,[北京]梅兰芳大剧院,“天空之城”——久石让&宫崎骏动漫经典音乐作品演奏会,时间：2021/11/05 19:30,价格：¥85起
11,[北京]枫蓝熙剧场,【大笑喜剧】周末脱口秀&吐槽开心爆梗之夜,时间：2021/11/05 19:30,价格：¥85起
12,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/05 19:30,价格：¥85起
13,[北京]北京 MAO Livehouse,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（下午场）,时间：2021/11/06 14:30,价格：¥129起
14,[北京]爱乐汇艺术空间,“天空之城”-久石让&宫崎骏动漫经典音乐作品演奏会,时间：2021/11/06 10:30,价格：¥100起
15,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/06 16:00,价格：¥85起
16,[北京]北京 MAO Livehouse,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（夜场）,时间：2021/11/06 19:30,价格：¥149起
17,[北京]疆进酒·OMNI SPACE,2021-2022徐海俏《空》新专辑巡演-北京站,时间：2021/11/06 20:00,价格：¥99起
18,[北京]枫蓝熙剧场,【大笑喜剧】周末脱口秀&吐槽开心爆梗之夜,时间：2021/11/06 19:30,价格：¥85起
19,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/06 19:30,价格：¥85起
20,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/01 19:30,价格：¥85起
21,[北京]北京 MAO Livehouse,[全场畅饮] 万圣节魔仙堡「暮光倾心」变装派对 北京站,时间：2021/11/01 21:00,价格：¥120起
22,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/02 19:30,价格：¥85起
23,[北京]爱乐汇艺术空间,“梁祝”钢琴、小提琴唯美经典名曲音乐会,时间：2021/11/03 19:30,价格：¥100起
24,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/03 19:30,价格：¥85起
25,[北京]北京 MAO Livehouse,【飞狗诚献】「再见乌托邦」全场酒水畅饮,时间：2021/11/03 20:30,价格：¥90起
26,[北京]疆进酒·OMNI SPACE,Leo1Bee「Shy Boy Leo」Fall 2021 Mini Tour - 北京站,时间：2021/11/04 20:00,价格：¥128起
27,[北京]北京 MAO Livehouse,【情绪回收站】理想真魔王+Pylon+理性之下 全场酒水畅饮,时间：2021/11/04 20:00,价格：¥99起
28,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/04 19:30,价格：¥85起
29,[北京]北京 MAO Livehouse,潮池蓝「深夜出走」2021巡演 北京站,时间：2021/11/05 20:30,价格：¥80起
30,[北京]梅兰芳大剧院,“天空之城”——久石让&宫崎骏动漫经典音乐作品演奏会,时间：2021/11/05 19:30,价格：¥85起
31,[北京]枫蓝熙剧场,【大笑喜剧】周末脱口秀&吐槽开心爆梗之夜,时间：2021/11/05 19:30,价格：¥85起
32,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/05 19:30,价格：¥85起
33,[北京]北京 MAO Livehouse,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（下午场）,时间：2021/11/06 14:30,价格：¥129起
34,[北京]爱乐汇艺术空间,“天空之城”-久石让&宫崎骏动漫经典音乐作品演奏会,时间：2021/11/06 10:30,价格：¥100起
35,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/06 16:00,价格：¥85起
36,[北京]北京 MAO Livehouse,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（夜场）,时间：2021/11/06 19:30,价格：¥149起
37,[北京]疆进酒·OMNI SPACE,2021-2022徐海俏《空》新专辑巡演-北京站,时间：2021/11/06 20:00,价格：¥99起
38,[北京]枫蓝熙剧场,【大笑喜剧】周末脱口秀&吐槽开心爆梗之夜,时间：2021/11/06 19:30,价格：¥85起
39,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/06 19:30,价格：¥85起
40,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/01 19:30,价格：¥85起
41,[北京]北京 MAO Livehouse,[全场畅饮] 万圣节魔仙堡「暮光倾心」变装派对 北京站,时间：2021/11/01 21:00,价格：¥120起
42,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/02 19:30,价格：¥85起
43,[北京]爱乐汇艺术空间,“梁祝”钢琴、小提琴唯美经典名曲音乐会,时间：2021/11/03 19:30,价格：¥100起
44,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/03 19:30,价格：¥85起
45,[北京]北京 MAO Livehouse,【飞狗诚献】「再见乌托邦」全场酒水畅饮,时间：2021/11/03 20:30,价格：¥90起
46,[北京]疆进酒·OMNI SPACE,Leo1Bee「Shy Boy Leo」Fall 2021 Mini Tour - 北京站,时间：2021/11/04 20:00,价格：¥128起
47,[北京]北京 MAO Livehouse,【情绪回收站】理想真魔王+Pylon+理性之下 全场酒水畅饮,时间：2021/11/04 20:00,价格：¥99起
48,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/04 19:30,价格：¥85起
49,[北京]北京 MAO Livehouse,潮池蓝「深夜出走」2021巡演 北京站,时间：2021/11/05 20:30,价格：¥80起
50,[北京]梅兰芳大剧院,“天空之城”——久石让&宫崎骏动漫经典音乐作品演奏会,时间：2021/11/05 19:30,价格：¥85起
51,[北京]枫蓝熙剧场,【大笑喜剧】周末脱口秀&吐槽开心爆梗之夜,时间：2021/11/05 19:30,价格：¥85起
52,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/05 19:30,价格：¥85起
53,[北京]北京 MAO Livehouse,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（下午场）,时间：2021/11/06 14:30,价格：¥129起
54,[北京]爱乐汇艺术空间,“天空之城”-久石让&宫崎骏动漫经典音乐作品演奏会,时间：2021/11/06 10:30,价格：¥100起
55,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/06 16:00,价格：¥85起
56,[北京]北京 MAO Livehouse,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（夜场）,时间：2021/11/06 19:30,价格：¥149起
57,[北京]疆进酒·OMNI SPACE,2021-2022徐海俏《空》新专辑巡演-北京站,时间：2021/11/06 20:00,价格：¥99起
58,[北京]枫蓝熙剧场,【大笑喜剧】周末脱口秀&吐槽开心爆梗之夜,时间：2021/11/06 19:30,价格：¥85起
59,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/06 19:30,价格：¥85起
60,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/01 19:30,价格：¥85起
61,[北京]北京 MAO Livehouse,[全场畅饮] 万圣节魔仙堡「暮光倾心」变装派对 北京站,时间：2021/11/01 21:00,价格：¥120起
62,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/02 19:30,价格：¥85起
63,[北京]爱乐汇艺术空间,“梁祝”钢琴、小提琴唯美经典名曲音乐会,时间：2021/11/03 19:30,价格：¥100起
64,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/03 19:30,价格：¥85起
65,[北京]北京 MAO Livehouse,【飞狗诚献】「再见乌托邦」全场酒水畅饮,时间：2021/11/03 20:30,价格：¥90起
66,[北京]疆进酒·OMNI SPACE,Leo1Bee「Shy Boy Leo」Fall 2021 Mini Tour - 北京站,时间：2021/11/04 20:00,价格：¥128起
67,[北京]北京 MAO Livehouse,【情绪回收站】理想真魔王+Pylon+理性之下 全场酒水畅饮,时间：2021/11/04 20:00,价格：¥99起
68,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/04 19:30,价格：¥85起
69,[北京]北京 MAO Livehouse,潮池蓝「深夜出走」2021巡演 北京站,时间：2021/11/05 20:30,价格：¥80起
70,[北京]梅兰芳大剧院,“天空之城”——久石让&宫崎骏动漫经典音乐作品演奏会,时间：2021/11/05 19:30,价格：¥85起
71,[北京]枫蓝熙剧场,【大笑喜剧】周末脱口秀&吐槽开心爆梗之夜,时间：2021/11/05 19:30,价格：¥85起
72,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/05 19:30,价格：¥85起
73,[北京]北京 MAO Livehouse,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（下午场）,时间：2021/11/06 14:30,价格：¥129起
74,[北京]爱乐汇艺术空间,“天空之城”-久石让&宫崎骏动漫经典音乐作品演奏会,时间：2021/11/06 10:30,价格：¥100起
75,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/06 16:00,价格：¥85起
76,[北京]北京 MAO Livehouse,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（夜场）,时间：2021/11/06 19:30,价格：¥149起
77,[北京]疆进酒·OMNI SPACE,2021-2022徐海俏《空》新专辑巡演-北京站,时间：2021/11/06 20:00,价格：¥99起
78,[北京]枫蓝熙剧场,【大笑喜剧】周末脱口秀&吐槽开心爆梗之夜,时间：2021/11/06 19:30,价格：¥85起
79,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/06 19:30,价格：¥85起
80,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/01 19:30,价格：¥85起
81,[北京]北京 MAO Livehouse,[全场畅饮] 万圣节魔仙堡「暮光倾心」变装派对 北京站,时间：2021/11/01 21:00,价格：¥120起
82,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/02 19:30,价格：¥85起
83,[北京]爱乐汇艺术空间,“梁祝”钢琴、小提琴唯美经典名曲音乐会,时间：2021/11/03 19:30,价格：¥100起
84,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/03 19:30,价格：¥85起
85,[北京]北京 MAO Livehouse,【飞狗诚献】「再见乌托邦」全场酒水畅饮,时间：2021/11/03 20:30,价格：¥90起
86,[北京]疆进酒·OMNI SPACE,Leo1Bee「Shy Boy Leo」Fall 2021 Mini Tour - 北京站,时间：2021/11/04 20:00,价格：¥128起
87,[北京]北京 MAO Livehouse,【情绪回收站】理想真魔王+Pylon+理性之下 全场酒水畅饮,时间：2021/11/04 20:00,价格：¥99起
88,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/04 19:30,价格：¥85起
89,[北京]北京 MAO Livehouse,潮池蓝「深夜出走」2021巡演 北京站,时间：2021/11/05 20:30,价格：¥80起
90,[北京]梅兰芳大剧院,“天空之城”——久石让&宫崎骏动漫经典音乐作品演奏会,时间：2021/11/05 19:30,价格：¥85起
91,[北京]枫蓝熙剧场,【大笑喜剧】周末脱口秀&吐槽开心爆梗之夜,时间：2021/11/05 19:30,价格：¥85起
92,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/05 19:30,价格：¥85起
93,[北京]北京 MAO Livehouse,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（下午场）,时间：2021/11/06 14:30,价格：¥129起
94,[北京]爱乐汇艺术空间,“天空之城”-久石让&宫崎骏动漫经典音乐作品演奏会,时间：2021/11/06 10:30,价格：¥100起
95,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/06 16:00,价格：¥85起
96,[北京]北京 MAO Livehouse,【没人比我跳得高】结冰水+梯云纵+春日玫瑰+时光胶囊（夜场）,时间：2021/11/06 19:30,价格：¥149起
97,[北京]疆进酒·OMNI SPACE,2021-2022徐海俏《空》新专辑巡演-北京站,时间：2021/11/06 20:00,价格：¥99起
98,[北京]枫蓝熙剧场,【大笑喜剧】周末脱口秀&吐槽开心爆梗之夜,时间：2021/11/06 19:30,价格：¥85起
99,[北京]三里屯艾米小剧场,《三里屯脱口秀》【大笑喜剧】“周末脱口秀“精品开心 | 爆梗 | 吐槽 | 解压大会,时间：2021/11/06 19:30,价格：¥85起
